Country,State/Province,City,Business Name,Phone,Address,Contact Name,Qty of 7ft Tables,Qty of 8ft Tables,Qty of 9ft Tables,Latitude,Longitude,Geocode Success
USA,AL,Leeds,Van's Bar,(205) 352-3699,"1621 Ashville Road Leeds, AL 35094",,3,,,33.557427,-86.5273731,TRUE
USA,AL,Minette,GK Pub,(2513) 674-3573,"204 West 3rd St. Bay Minette, AL 36507",George Kahalley,,,,30.8838383,-87.7770827,TRUE
USA,AL,Mobile,The Billiard Club,251-447-2162,"4130 Government Blvd. Mobile, AL 36693",Richard Byrd,,,,30.6338054,-88.1465226,TRUE
USA,AL,Mobile,The Billiard Club,(251) 674-3573,"2716 Woodland Road Mobile, AL 36693",Alton Harwell,,,,30.6338794,-88.1821648,TRUE
USA,AL,Montgomery,Bizzy B's Bar & Grill,615-330-8741,"163 Eastern Boulevard Montgomery, AL 36117",Corey Phelan or Willy,,,,32.3791665,-86.2068756,TRUE
USA,AL,Montgomery,DeJa Vu Billiards,(334) 356-7530,"121 North Burbank Drive Montgomery, AL 36117",,14,,,32.385016,-86.1998322,TRUE
USA,AL,Montgomery,Montgomery Billiards,(971) 241-1851,"121 N. Burbank Dr. Montgomery, AL 36117",Rick Barber & Justin Player,,,,32.385016,-86.1998322,TRUE
USA,AL,Montgomery,The Break Room,334.538.3705,"P.O. Box 240849 Montgomery, AL 36124",Rick Barber,10,,,32.37,-86.3,TRUE
USA,AL,Montgomery,The Corner Pocket,334-300-2750,"5743 Woodmere Boulevard Montgomery, AL 36117","Jerry ""JJ"" Meeks",,,,32.3566227,-86.21397,TRUE
USA,AL,Opelika,Rockin Robin Bar and Grill,334-703-0558,"2102 Alabama Hwy 169 Opelika, AL 36804",Rusty Hall,,,,32.5992611,-85.3364166,TRUE
USA,AL,Opelika,The Rockin Robin,(334) 759-7171,"2390 Crawford Rd. Opelika, AL 36804",,5,,,32.5993152,-85.3363563,TRUE
USA,AL,Pelham,Lil Bits Tavern,(205) 624-2345,"3221 Highway 52 W B Pelham, AL 35124",,3,,,33.2854716,-86.81477,TRUE
USA,AL,Pelham,Papa G's Billiards,(205) 957-3307,"2722 Chandalar Place Dr. Pelham, AL 35124",Michael Glass,,,,33.3131974,-86.8028816,TRUE
USA,AL,Pelham,Poppa G's Billiards,205-664-2949,"2722 Chadalar Place Drive Pelham, AL 35124",Frank Gagtina,16,,2,33.3131974,-86.8028816,TRUE
USA,AL,Pelham,Rack Em Billiards,(205) 255-8179,"2613 Pelham Parkway Pelham, AL 35124",,8,,8,33.3198611,-86.7963299,TRUE
USA,AL,Sitka,Moose Lodge Sitka,(907) 747-3344,"337 Lincoln Street Sitka, AK 99835",Joseph Reed,,,,57.0510121,-135.3334785,TRUE
USA,AL,Talladega,WW Vending,(205)368-9681,"232 Grand Way Talladega, AL 35160",William Weller,2,,,33.4860424,-86.2639709,TRUE
USA,AL,Tuscaloosa,The Wheelhouse Pub,(205) 535-5933,"2326 4th Street Tuscaloosa, AL 35401",,2,,,33.2112041,-87.5684121,TRUE
USA,AL,Wetumpka,The Breakroom,334-538-3930,"157 Maplewood Dr. Wetumpka, AL 36093",Bryan& Kathe Ainsworth,,,,32.4634821,-86.1103249,TRUE
USA,AR,Benton,Krome Billiards,501-860-1455,"2217 Edison Ave Benton, AR 72015",Sheri Elliott,,,,34.5563378,-92.561454,TRUE
USA,AR,Conway,The Rab Conway,(501) 336-8484,"408 US-65 Conway, AR 72032",,,,,35.1377892,-92.4004565,TRUE
USA,AR,Fayetteville,The Green Room,479-530-2254 (Cell),"326 NW Avenue #16 Fayetteville, AR 72701",,,,,36.067412,-94.1650285,TRUE
USA,AR,Fayetteville,Morano's,(479) 935-4800,"2179 M.L.K. Jr. Blvd Fayetteville, AR 72701",,6,,2,36.0537058,-94.1900876,TRUE
USA,AR,Fort Smith,Classic Billiards,479-650-9577,"1310 S. Zero St. Fort Smith, AR 72901",Wayne Wittamore & Chad Bandy,,,,35.327735,-94.4196028,TRUE
USA,AR,Fort Smith,Squatty's Billiards,(479) 996-1465,"14625 US-71 Fort Smith, AR 72916",,,,,35.265013,-94.3663205,TRUE
USA,AR,Hot Springs,Boondock's Pool Hall,501-881-4856,"1331 Airport Road #G Hot Springs, AR 71913",Joe Gordon,,,,34.4707119,-93.1279098,TRUE
USA,AR,Hot Springs,VIP Billiards Sports Bar,(501) 760-0088,"426 Winona St. Hot Springs, AR 71901",,,,,34.4937063,-93.0572198,TRUE
USA,AR,Mabelvale,On The Snap Billiards,(501) 580-2291,"14106 Chicot Road Mabelville, AR 72103",,8,,,34.622199,-92.365167,TRUE
USA,AR,North Little Rock,Krome Billiards,(501) 771-0968,"2657 Pike Ave North Little Rock, AR 72114",,12,,4,34.7800314,-92.281135,TRUE
USA,AR,Paragould,Cues and Blues,(870) 236-7665,"2702 East Lake Street Paragould, AR 72450",Seth Overton,,,,36.0517321,-90.4504147,TRUE
USA,AR,Paragould,Percy's Pool Hall,870-205-1119,"108 W Main St. Paragould, AR 72450",Devin Poteet,,,,36.0543133,-90.486719,TRUE
USA,AR,Texarkana,The Arrow Bar,870-648-8939,"110 E 36 St Texarkana, AR 71854",Tony Couch,,,,33.4572901,-94.0421899,TRUE
USA,AR,Texarkana,Stages Texarkana,(870) 773-4610,"110 East 36th St. Texarkana, AR 71854",,7,,1,33.4572901,-94.0421899,TRUE
USA,AZ,Avondale,Lighthouse Sports Bar,(623) 440-6968,"12351 West Indian School Road Avondale, AZ 85392",,2,,,33.4927765,-112.3244166,TRUE
USA,AZ,Bellemont,Roadhouse Bar & Grill,(928) 774-5080,"11840 W Route 66 Bellemont, AZ 86015",,3,,,35.2292597,-111.8100822,TRUE
USA,AZ,Gilbert,Jester's Billiards,(480) 926-1314,"1515 North Gilbert Road Gilbert, AZ 85234",,10,,,33.3770851,-111.7875035,TRUE
USA,AZ,Gilbert,Skip & Jans Sports Bar,(480) 539-0110,"1520 W Warner Rd. Unit 112 Gilbert, AZ 85233",,12,,12,33.3363024,-111.8237258,TRUE
USA,AZ,Glendale,Mason's Sports Pub & Grub,(623) 878-9874,"10634 N 51st Ave. Glendale, AZ 85304",,2,,,33.5833333,-112.1695076,TRUE
USA,AZ,Glendale,Stingers,623-326-5370 cell,"20259 N. 52nd Dr. Glendale, AZ 85308",,,,,33.6700451,-112.172479,TRUE
USA,AZ,Holbrook,The Corral,(928) 524-1875,"865 Navajo Blvd Holbrook, AZ 86025",,2,,,34.9072722,-110.1582911,TRUE
USA,AZ,Lake Havasu City,Mr Lucky's Billiards,(928) 855-4000,"3313 Maricopa Ave. Lake Havasu City, AZ 86406",,,,,34.4586428,-114.2769875,TRUE
USA,AZ,Mesa,Main Street Billiards,480-694-7037,"1749 W. Main St. Suite #11 Mesa, AZ 85201",,16,,16,33.414413,-111.869062,TRUE
USA,AZ,Mesa,Venture Out,530-862-1472,"5001 E. Main St. Lot 798 Mesa, AZ 85205",Mike Ellis,,,,33.4119601,-111.723524,TRUE
USA,AZ,Peoria,Lions Light Corp.,907-223-7872,"27896 N 92nd Ln. Peoria, AZ 85383",,,,,33.7369849,-112.259964,TRUE
USA,AZ,Phoenix,Bullshooters,602-441-2447,"3337 West Peoria Phoenix, AZ 85029",Mike Bates,,,,33.5806193,-112.1327994,TRUE
USA,AZ,Phoenix,Metro Sportz Bar,602-326-9448 (Cell),"10402 North Black Canyon Highway Phoenix, AZ 85051",John Upshaw,,,,33.5801077,-112.118329,TRUE
USA,AZ,Phoenix,O'Briens Sports Pub,602--841-3980,"7829 North 35th Ave. Phoenix, AZ 85051",Coady Shannon,,,,33.5523141,-112.1339396,TRUE
USA,AZ,Phoenix,Metro,(602) 997-5717,"10111 N Metro Parkway E Phoenix, AZ 85051",,9,,,33.5793726,-112.1186634,TRUE
USA,AZ,Prescott Valley,Barefoot Bobs Billiards,928-759-9590,"8367 Pecos Drive Prescott Valley, AZ 86314",Bob Soto,,,,34.6266129,-112.3182245,TRUE
USA,AZ,Scottsdale,Connelly Billiards,480-419-2965,"15507 North Scottsdale Road Scottsdale, AZ 85254",,,,,33.6283609,-111.9244087,TRUE
USA,AZ,Scottsdale,Craig Billiards,480-907-7600,"15816 N. Greenway Hayden Loop #400 Scottsdale, AZ 85260",Craig Connelly,,,,33.6294892,-111.9135102,TRUE
USA,AZ,Sun City West,Sun City West,623-544-6029,"19803 R.H. Johnson Boulevard Sun City West, AZ 85375",Jack Cuddie,,,,33.6629403,-112.3562119,TRUE
USA,AZ,Surprise,Sun City Grand,623-546-7468,"19726 N. Remington Dr. Surprise, AZ 85374",Laurie Segler,,,,33.6590081,-112.4056306,TRUE
USA,AZ,Surprise,Sunflower RV Resort,480-387-1041,"16501 N. El Mirage Rd. Surprise, AZ 85378",Andrew Hill,,,,33.6331406,-112.3222977,TRUE
USA,AZ,Tempe,Kolby's Corner Pocket,812-631-2010 (Cell),"1301 E. University Dr. Suite 112 Tempe, AZ 85281",Brian Desantis,,,,33.4212923,-111.9167999,TRUE
USA,AZ,Tempe,Mill's Modern Social,602-491-9119 Bar,"83 East Broadway Road Tempe, AZ 85282",,16,,12,33.4072364,-111.9387616,TRUE
USA,AZ,Tucson,Click's Billiards,520-887-7312,"3325 North 1st Avenue Tucson, AZ 85719",Chris Chlup,,,,32.2673174,-110.9617937,TRUE
USA,AZ,Tucson,Craft Republic,520-575-1980,"7625 North La Cholla Blvd. Tucson, AZ 85741",Michael Murphy,,,,32.3444243,-111.013394,TRUE
USA,AZ,Tucson,Pockets,520-275-6336,"1062 South Wilmot Road Tucson, AZ 85711",Curtis Johnson,,,,32.2084098,-110.8584368,TRUE
USA,AZ,Winslow,PT's Bar,928-386-4205 (Cell),"1500 East 3rd Street Winslow, AZ 86047",Mark Dragoo,,,,35.0182423,-110.6828462,TRUE
USA,AZ,Yuma,Country Roads RV Village,903-539-8844 (Cell),"5707 East 32nd Street Yuma, AZ 85365",Terry Moser,,,,32.6629549,-114.5336913,TRUE
USA,AZ,Yuma,Fat Harvey's,(9284) 683-2873,"303 W 26th St. Yuma, AZ 85364",,3,,,32.6800407,-114.6236966,TRUE
USA,AZ,Yuma,Sundance RV Resort,928-287-5051 (Cell),"13502 North Frontage Yuma, AZ 85367",Christina Hurwin,,,,32.6711104,-114.4019327,TRUE
USA,CA,Anaheim,99 Bottles & Cocktails,(714) 826-2040,"8901 Katella Ave. Anaheim, CA 92804",,,,,33.8034455,-117.9770979,TRUE
USA,CA,Anaheim,Blvd Cocktails,310-619-6828,"819 S. Euclid Street Anaheim, CA 92802",Dustin Cabrera,2,,,33.8207292,-117.9418565,TRUE
USA,CA,Bakersfield,Firehouse Sports Pub,(661) 836-7665,"2905 Calloway Drive Bakersfield, CA 93312",,7,,,35.3872815,-119.1108034,TRUE
USA,CA,Bakersfield,The Corner Pocket,(661) 835-7665,"3216 Ming Ave. #B Bakersfield, CA 93304",,15,,3,35.3402094,-119.0379032,TRUE
USA,CA,Brea,Shady Nook Sports Bar,(714) 672-9440,"151 S Kraemer Blvd. Brea, CA 92821",,2,,,33.9189183,-117.8647966,TRUE
USA,CA,Chico,Down Lo,(530) 892-2473,"319 Main St. Chico, CA 95928",,,,,39.7296047,-121.8389584,TRUE
USA,CA,Chico,Oasis Bar & Grill,(530) 343-4305,"1007 West 1st Street Chico, CA 95928",,,,,39.7251302,-121.8495341,TRUE
USA,CA,El Cajon,Kelly's Pub,(619) 448-7072,"719 E Bradley Ave. El Cajon, CA 92021",,4,,,32.8186591,-116.9512817,TRUE
USA,CA,Emeryville,The Broken Rack,510-915-4611,"5768 Peladeau Street Emeryville, CA 94608",,,,,37.838822,-122.289597,TRUE
USA,CA,Escondido,Five Points Sports Bar,(760) 740-1139,"1881 S. Escondido Blvd. Escondido, CA 92025",,3,,,33.1016234,-117.0713642,TRUE
USA,CA,Fremont,California Billiards,(510) 668-1670,"40510 Albrae St. Fremont, CA 94538",,,,,37.5201274,-121.9875887,TRUE
USA,CA,French Camp,Second Chance Saloon,636-697-5630,"8555 S. Wolfe Rd. French Camp, CA 95231",Janet Van Anterp,,,,37.8765021,-121.3023572,TRUE
USA,CA,Fullerton,The Blue Door,(714) 870-6191,"1310 S Euclid St. Fullerton, CA 92832",,2,,,33.8586737,-117.9414217,TRUE
USA,CA,Hayward,Shirlene's Iron Horse,510-278-3563,"18974 Meekland Avenue Hayward, CA 94541",Ryan Logsdon,,,,37.6802347,-122.1128377,TRUE
USA,CA,Huntington Beach,Shooters Sports Bar,(714) 964-5171,"18582 Beach Blvd. #20 Huntington Beach, CA 92648",,4,,,33.6928978,-117.9880342,TRUE
USA,CA,La Habra,Shotz Bar & Kitchen,(562) 245-7247,"1500 E La Habra Blvd La Habra, CA 90631",,4,,,33.9315081,-117.9294312,TRUE
USA,CA,La Habra,Hedz or Tales,562-640-0701,"211 East Imperial Hwy. LaHabra, CA 90631",Michael Shoemaker,,,,33.9177236,-117.9446023,TRUE
USA,CA,La Mesa,On Cue Billiards,(619) 463-8759,"8308 Parkway Dr. La Mesa, CA 91942",,,,,32.7787877,-117.0176625,TRUE
USA,CA,La Mirada,Sportsman's Lounge,(562) 921-1016,"13902 Imperial Hwy. La Mirade, CA 90638",,2,,,33.9165595,-118.0360587,TRUE
USA,CA,La Mirada,Golde Brique Inn,(562) 941-9263,"14942 Leffingwell Rd. La Mirada, CA 90638",,2,,,33.9260437,-118.0127763,TRUE
USA,CA,Lakewood,Good Times Family Billiards,(562) 420-9556,"4125 Paramount Blvd. Lakewood, CA 90712",,,,,33.8332769,-118.1605238,TRUE
USA,CA,Livermore,Pine Street Bar,(925) 606-8266,"875 Rincon Ave. Livermore, CA 94551",Will Nowicki,4,,,37.6881629,-121.7840641,TRUE
USA,CA,Los Angeles,90 West Lounge,(310) 821-4000,"12740 Culver Blvd. Los Angeles, CA 90066",,1,,,33.9853191,-118.4250498,TRUE
USA,CA,Menifee,Pitstop Pub Sports Bar,(951) 679-0869,"26900 Newport Rd. Menifee, CA 92584",,4,,,33.6860167,-117.1901182,TRUE
USA,CA,Mesa,Pub 33,714-865-0733,"1562 Newport Blvd Costa Mesa, CA 92627",Gary Turner,,,,33.6317961,-117.9231098,TRUE
USA,CA,Milpitas,Edgie's Billiards,(669) 236-9800,"235 S. Milpitas Blvd. Milpitas, CA 95035",,,,,37.4273071,-121.896327,TRUE
USA,CA,Moorpark,Butera's Billiards,805-558-1910,"476 W Los Angeles Blvd. Moorpark, CA 93021",Sal Butera,,,,34.2786359,-118.8870344,TRUE
USA,CA,Northridge,The Nectar,(818) 717-9300,"8626 Balboa Blvd. Northridge, CA 91325",,2,,,34.227449,-118.5021342,TRUE
USA,CA,Oxnard,The Q-Club,818-448-5580,"2362 North Oxnard Boulevard Oxnard, CA 93036",Jose Gonzalez,,,,34.2284779,-119.177341,TRUE
USA,CA,Pasadena,Jerry's Family Billiards,(626) 590-3770,"1312 N. Lake Ave. Pasadena, CA 91104",,,,,34.1685514,-118.1318219,TRUE
USA,CA,Petaluma,Buffalo Billiards,707-585-8992,"246 Petaluma Boulevard North Petaluma, CA 94952",Lee Simon,,,,38.2368001,-122.6414109,TRUE
USA,CA,Ramona,Cheers of Ramona,(760) 789-0270,"2475 Main St. Ramona, CA 92065",,,,,33.0265592,-116.8920234,TRUE
USA,CA,Rancho Cordova,Diamond Billiards,916-257-3874,"10303 Folsom Blvd. Rancho Cordova, CA 95670",Brian Rutledge,,,,38.58798,-121.3078747,TRUE
USA,CA,Rancho Cucamonga,Mustang Sally's,(909) 987-2617,"10028 Foothill Blvd S Rancho Cucamonga, CA 91730",,,,,34.1057492,-117.5891324,TRUE
USA,CA,Rialto,Jacks Grill & Billiards,(909) 440-5730,"148 S Riverside Ave. Rialto, CA 92376",,,,,34.0992784,-117.3707022,TRUE
USA,CA,Sacramento,Hard Times,(916) 332-8793,"5536 Garfield Ave Sacramento, CA 95841",Oscar & Desiree Dominguez,2,,8,38.6671772,-121.3360823,TRUE
USA,CA,Sacramento,Jointed Cue,(916) 456-3243,"2375 Fruitridge Rd. Sacramento, CA 95822",,4,,,38.5251138,-121.484034,TRUE
USA,CA,San Diego,O Zone Billiard Cafe,510-965-8888,"4887 Convoy Street San Diego, CA 92111",Kenny Kwok Ling Cheung,,,,32.8301205,-117.152693,TRUE
USA,CA,San Diego,Pockets Billiards & Brew,(858) 876-5452,"6450 Cleeve Way San Diego, CA 92117",Lila Woodland,,,,32.8271302,-117.1675812,TRUE
USA,CA,San Francisco,Family Billiards,530-570-2611,"2807 Geary Boulevard San Francisco, CA 94118",Gilbert Argllano,,,,37.782059,-122.4492982,TRUE
USA,CA,San Francisco,Billiard Palacade,415-225-4336,"5179 Mission Street San Francisco, CA 94112",,,,,37.7157633,-122.4411891,TRUE
USA,CA,San Francisco,Target Pool,,"1097 Howard St. Unit 307 San Francisco, CA 94103",Christian Taylor,,,,37.7779951,-122.4089145,TRUE
USA,CA,Santa Barbara,Don Q Family Billiard Center,(805) 845-3197,"1128 Chapala St. Santa Barbara, CA 93101",,,,,34.4222502,-119.7052084,TRUE
USA,CA,Santa Barbara,Cliff Room,805-705-8806,"1828 Cliff Drive Santa Barbara, CA 93109",Dave Clark,2,,,34.4017305,-119.7214966,TRUE
USA,CA,Torrance,Mr. Lucky's Billiards,(310) 371-9489,"21020 Hawthorne Blvd. Torrance, CA 90503",,,,,33.8391698,-118.3530662,TRUE
USA,CA,Ventura,GiGi's Cocktail Lounge,(805) 642-2411,"2493 Grand Ave. Ventura, CA 93003",,2,,,34.2514202,-119.2072636,TRUE
USA,CA,Vista,The Stage Coach Inn,(760) 724-9090,"1865 West Vista Way Vista, CA 92083",Jay Turner,,,,33.1881032,-117.2810751,TRUE
USA,CA,Walnut,VIP Billiards,(909) 345-7782,"20627 Golden Springs Dr. Walnut, CA 91789",,,,,33.9981731,-117.855365,TRUE
USA,CA,Westminster,Posse Bar,(657) 227-7172,"13093 Springdale St. Westmister, CA 92683",,1,,,33.7727374,-118.0235948,TRUE
USA,CA,Woodland,The Morning Star Company,519-630-8705 (Cell),"724 Main Street Woodland, CA 95695",Todd Rufer,,,,38.677301,-121.7708465,TRUE
USA,CO,Alamosa,Bank Shot Sports Bar,719-588-9895 (Cell),"1212 8th St. Alamosa, CO 81101",Al Lujan,7,,,37.464304,-105.8747711,TRUE
USA,CO,Arvada,Mile High Billiards,970-418-2159,"11651 West 64th Unit B-3 Arvada, CO 80004",Warner Kingsbury,12,,4,39.8132703,-105.1289563,TRUE
USA,CO,Aurora,Rack'em Billiards & Sports Bar,303-755-7675,"1919 S/ Havana St. Aurora, CO 80014",,12,,10,39.6816115,-104.8675082,TRUE
USA,CO,Aurora,Steel Tips Bar,303-699-2222,"15162 E Hampden Ave. Aurora, CO 80014",,2,,,39.6517194,-104.8121749,TRUE
USA,CO,Aurora,The Famous Door 2,720-870-3236,"15220 E Hampden Ave. Aurora, CO 80014",,,,,39.6517807,-104.8113999,TRUE
USA,CO,Aurora,Piazza's Sports Bar & Restaurant,720-379-7124,"1770 S. Buckley Rd. Aurora, CO 80017",Tony Piazza,8,,,39.6833164,-104.7892846,TRUE
USA,CO,Brighton,Rock Pocketz LLC,303-412-0257,"682 Hayloft Way Brighton, CO, 80601",Rob Randolph,,,,39.9996062,-104.7655167,TRUE
USA,CO,Broomfield,Zooster's Pu & Pool Hall,303-465-9298,"300 Nickel St #23 Broomfield, CO 80020",,11,,,39.9204394,-105.0867478,TRUE
USA,CO,Colorado Springs,Time Out Sports Lounge,719-390-7257,"3721 Drennan Rd. Colorado Springs, CO 80910",,6,,,38.7816275,-104.758839,TRUE
USA,CO,Colorado Springs,Antique Billiards Museum,719-597-9809,"3628 Citadel Dr N Colorado Springs, CO 80909",Jim Barber,25+,,,38.8466041,-104.7620475,TRUE
USA,CO,Denver,Lil's Place,303-430-7176,"7575 Broadway Ste. D Denver, CO 80221",,,,,39.833924,-104.9881206,TRUE
USA,CO,Denver,Memphis Cue Bar,720-909-2215,"333 N. Broadway Denver, CO 80203",,6,,,39.7215644,-104.9877029,TRUE
USA,CO,Denver,Los Sierra's Bar,303-657-5920,"6762 Lowell Blvd. Denver, CO 80221",,4,,,39.8195682,-105.0341213,TRUE
USA,CO,Denver,Wynkoop Brewing Company,303-297-2700,"1634 18th St. Denver, CO 80202",,,,,39.7534202,-104.9985353,TRUE
USA,CO,Denver,Love Shack,303-426-6420,"7290 N Pecos St, Denver, CO 80221",,,,,39.8288909,-105.0056461,TRUE
USA,CO,Durango,El Rancho Tavern,970-749-1816,"975 Main Avenue Durango, CO 81301",,,,,37.2744059,-107.880764,TRUE
USA,CO,Englewood,Felt Billiards,720-266-6190,"101 W Floyd Ave #2421 Englewood, CO 80110",,16,,-1,39.656761,-104.9893368,TRUE
USA,CO,Evans,Lit'l Bit Bar and Grill,720-467-5381,"3620 35th Avenue Evans, CO 80620",,,,,40.3788562,-104.7335471,TRUE
USA,CO,Federal Heights,The Wreck Room Saloon,303-412-0257,"2695 W. 92nd Ave Federal Heights, CO 80260",,7,,,39.8639105,-105.0190779,TRUE
USA,CO,Fort Morgan,The Club Tap,970-441-0738,"212 Main Street Fort Morgan, CO 80701",,,,,40.2491724,-103.8012506,TRUE
USA,CO,Lakewood,Greenfield's Pool & Sports Bar,303-989-9820,"3355 S Yarrow St E101, Lakewood, CO 80227",,14,,,39.6545617,-105.0836832,TRUE
USA,CO,Littleton,The Mirage Sports Bar,303-979-9220,"8340 W Coal Mine Ave. Littleton, CO 80123",,,,,39.5942588,-105.090495,TRUE
USA,CO,Lone Tree,Fox & Hound,720-875-9161,"9239 Park Meadows Drive Lone Tree, CO 80124",,4,,,39.5559188,-104.8805349,TRUE
USA,CO,Pagosa Springs,Pagosa Bar,970-264-2749,"460 Pagosa St. Pagosa Springs, CO 81147",,2,,,37.2667587,-107.0113736,TRUE
USA,CO,Pueblo,A and D Billiards,(719) 250-1004,"1715 South Prairie Ave Pueblo, CO 81005",Ted Mauro,,,,38.2381508,-104.6440707,TRUE
